Time,MAX,MIN,AVG
119.775,0.498221189,-0.125045732,0.098504186
119.78,0.445067346,-0.160582885,0.098807923
119.785,0.525861144,-0.161494106,0.098504186
119.79,0.479693264,-0.163923994,0.098807923
119.795,0.496702492,-0.150559589,0.099111661
119.8,0.459646672,-0.129905507,0.098807923
119.805,0.486679196,-0.119882233,0.09971913
119.81,0.46693635,-0.14691475,0.099415392
119.815,0.460557878,-0.139928818,0.099111661
119.82,0.464202732,-0.133550361,0.098807923
119.825,0.481819421,-0.159064204,0.099111661
119.83,0.452053279,-0.15086332,0.098504186
119.835,0.485464275,-0.205839589,0.099111661
119.84,0.483034372,-0.127475619,0.098807923
119.845,0.479085803,-0.174858496,0.098807923
119.85,0.52677238,-0.147218481,0.098807923
119.855,0.486375481,-0.158152997,0.098200448
119.86,0.476352185,-0.149040893,0.098504186
119.865,0.462076575,-0.123527057,0.098504186
119.87,0.507029533,-0.149952114,0.099111661
119.875,0.497309953,-0.182755634,0.098504186
119.88,0.464810193,-0.178503335,0.098807923
119.885,0.466632605,-0.153596953,0.098504186
119.89,0.456913054,-0.16544266,0.099111661
119.895,0.500954807,-0.140232548,0.098807923
119.9,0.563524485,-0.142358705,0.098807923
119.905,0.487894177,-0.170302451,0.099415392
119.91,0.517964005,-0.154508159,0.100022867
119.915,0.460254133,-0.151774541,0.099415392
119.92,0.468455046,-0.162101567,0.098807923
119.925,0.492146432,-0.125653207,0.098807923
119.93,0.485464275,-0.146003544,0.099415392
119.935,0.475137204,-0.146307275,0.098807923
119.94,0.456609309,-0.188830361,0.099111661
119.945,0.497309953,-0.154204428,0.098504186
119.95,0.463898987,-0.160582885,0.098807923
119.955,0.502473474,-0.15116705,0.098504186
119.96,0.469366223,-0.16513893,0.098200448
119.965,0.521608829,-0.1371952,0.098504186
119.97,0.477870822,-0.15086332,0.098504186
119.975,0.458735466,-0.160279155,0.098504186
119.98,0.482426882,-0.148433432,0.098504186
119.985,0.49943611,-0.154811889,0.098200448
119.99,0.507029533,-0.148129702,0.098504186
119.995,0.43960008,-0.144788593,0.099415392
120.0,0.461772829,-0.163316503,0.099111661
120.005,0.456001818,-0.152685732,0.099415392
120.01,0.578711271,-0.161494106,0.099111661
120.015,0.459950417,-0.154508159,0.099111661
120.02,0.487286657,-0.155419379,0.098504186
120.025,0.488501638,-0.15602684,0.098807923
120.03,0.449623376,-0.180629477,0.099111661
